id,added,edited,beerdb_id,name,country,origin_state,origin_city,production,url,description,latitude,longitude,accuracy,image
43,2013-07-08 23:33:03.698900+00:00,2013-07-08 23:33:03.747109+00:00,,Andrew's Brewing,USA,Maine,Lincolnville,,,"Andy Hazen is a workhorse of a brewer. From start to finish, he is a one-man operation. The former cabinetmaker is also a self-reliant Mainer through and through. He was originally an all-grain homebrewer who decided to take it to the next level when his friends expressed interest in his beers. He designed the 12-barrel brewing system himself and enlisted a local welder to help put it together. Hazen notes that when you live in Maine, you have to find some service to provide to others in order to survive. For him, brewing is the service he provides to his local community. Located in the rolling hills of Lincolnville, Maine, Andrew's is housed in a renovated farmhouse next to Hazen's home. Finding the brewery is more than half the battle. Have no fear, however, as everyone knows about Andrew's. Also, be aware that due to some thieving souls, the brewery no longer has any signage to announce its existence to the visiting public. The only indication that a brewery exists in the farmhouse are the occasional keg deliveries in Hazen's front yard. And Hazen hasn't been quick to replace the sign either. While he welcomes visitors, you have to remember to clear a path for the busy brewer. Like many other unsung small brewers, running his 5OO-barrel per year brewery is a seven day a week operation for Hazen. Watching Hazen run the brewery is a little like watching Willy Wonka run the Chocolate Factory. When I visit him during a bottling day, Hazen runs between the bottling line and the packaging supplies in a hurried yet methodical manner. He stands up bottles on the line, starts the machine, slides his way across the brewhouse to the packaging materials, and hand assembles the six-packs that will hold the soon-to-be bottled beer. Andrew's beer is straightforward, unassuming and entirely enjoyable. His product line includes the St. Nick Porter, the Northern Brown Ale, the English Pale Ale, and the summer seasonal Ruby's Golden Ale. A celebration of the Amarillo hop, Hazen's English Pale Ale is a delightfully balanced product that neither over or underwhelms the palate.  from beerscribe.com",44.351599999999998,-69.140100000000004,interpolated,
44,2013-07-08 23:33:03.780083+00:00,2013-07-08 23:33:03.802080+00:00,,Angelic Brewing,USA,Wisconsin,Madison,,,(No longer brewing),43.078499999999998,-89.382000000000005,approximate,
45,2013-07-08 23:33:03.832544+00:00,2013-07-08 23:33:03.845493+00:00,,Anheuser-Busch,USA,Missouri,Saint Louis,,http://www.anheuser-busch.com/,"Anheuser-Busch operates 12 breweries in the United States of America, 14 in China and one in the United Kingdom. Anheuser-Busch's operations and resources are focused on adding to life's enjoyment not only through the responsible consumption of beer by adults, but through theme park entertainment and packaging.  In the United States of America, the company holds a 48.5 percent share of U.S. beer sales. Worldwide, Anheuser-Busch's beer sales volume was 128.4 million barrels in 2007.  The St. Louis-based company's subsidiaries include one of the largest U.S. manufacturers of aluminum beverage containers and one of the world's largest recyclers of aluminum beverage cans. Anheuser-Busch also has interests in malt production, rice milling, real estate development, turf farming, metalized and paper label printing, bottle production and transportation services.",38.598300000000002,-90.209000000000003,interpolated,
46,2013-07-08 23:33:03.869595+00:00,2013-07-08 23:33:03.900227+00:00,,Appalachian Brewing Company,USA,Pennsylvania,Harrisburg,,http://www.abcbrew.com,"Appalachian Brewing Company is a unique large-capacity microbrewery and full-service brewpub located at 50 North Cameron Street Harrisburg, PA.",40.265900000000002,-76.875299999999996,rooftop,
47,2013-07-08 23:33:03.926543+00:00,2013-07-08 23:33:03.957295+00:00,,Appleton Brewing,USA,Wisconsin,Appleton,,,,44.261899999999997,-88.415400000000005,approximate,
48,2013-07-08 23:33:03.979960+00:00,2013-07-08 23:33:04.034233+00:00,,Arcadia Brewing,USA,Michigan,Battle Creek,,http://www.arcadiaales.com/,,42.322000000000003,-85.185100000000006,interpolated,
49,2013-07-08 23:33:04.041819+00:00,2013-07-08 23:33:04.097676+00:00,,Arcobrau Grafliches Brauhaus,DEU,Baden-Wurttemberg,Moos,,http://www.arcobraeu.de,,,,,
50,2013-07-08 23:33:04.125050+00:00,2013-07-08 23:33:04.152527+00:00,,Arthur Guinness & Son,IRL,,Dublin,,http://www.guinness.com,,53.343299999999999,-6.2846000000000002,approximate,
51,2013-07-08 23:33:04.174772+00:00,2013-07-08 23:33:04.185074+00:00,,Asahi Breweries,JPN,Kanto,Tokyo,,,,,,,
52,2013-07-08 23:33:04.202836+00:00,2013-07-08 23:33:04.223222+00:00,,Asheville Pizza and Brewing Co.,USA,North Carolina,Asheville,,http://www.ashevillepizza.com/,"Asheville Brewpub, Brewery, Movie Theater and Pizzeria all rolled into 2 great places to meet and eat. Award winning beer and award winning pizza.",35.622100000000003,-82.553600000000003,rooftop,
