id,added,edited,beerdb_id,name,brewer,style,edition,abv,calories_oz,carbs_oz,original_gravity,specific_gravity,description,image,untappd_beer_id
5130,2013-07-09 00:14:11.569358+00:00,2013-07-09 00:14:11.581632+00:00,,Terrapin Midnight Project Depth Charge Espresso Milk Stout,1244,21,,8.0,,,,,"Terrapin Midnight Project Brew Two 2009. Sometime around midnight in a city nobody can agree on, the idea for Terrapin and Left Hand to brew a collaboration beer was born. Depth Charge is the second in the series of one-time releases between the two breweries. Be wary of the calm before the storm. This creamy, deeply delicious milk stout will seduce you into submission while the explosion of hand roasted gourmet espresso will blow you into next week. We Shall Drink in the breweries. We Shall Drink in the pubs, We Shall Drink the the comfort of our homes. We Shall Never Surrender.",,
5131,2013-07-09 00:14:11.596713+00:00,2013-07-09 00:14:11.607893+00:00,,Hopsecutioner,1244,32,,7.2000000000000002,,,,,"Here ye, here yeÃ¢â‚¬Â¦All hopheads shall herewith rejoice! Terrapin has recruited ye old HOPSECUTIONER to execute the exact hop profile for this killer IPA!",,
5132,2013-07-09 00:14:11.621124+00:00,2013-07-09 00:14:11.633906+00:00,,Terrapin Coffee Oatmeal Imperial Stout,1244,44,,8.5999999999999996,,,,,"Black as night, this coffee stout is thick, rich and full of real coffee flavor. Brewed with the Terrapin Wake-n-Bake coffee blend created by Terrapin & Jittery JoeÃ¢â‚¬â„¢s Coffee.",,
5133,2013-07-09 00:14:11.751161+00:00,2013-07-09 00:14:11.795665+00:00,,Light Weight,1245,38,,4.3300000000000001,,,,,"Our lightest beer, and our Bronze Medal Winner 2006 World Beer Cup German pilsner malt and American hops give this brew a light, crisp finish. Made with the light beer drinker in mind.",,
5134,2013-07-09 00:14:11.822867+00:00,2013-07-09 00:14:11.833356+00:00,,Donovan's Red,1245,34,,5.1600000000000001,,,,,"Named after Donovan's, a 19th century Irish restaurant in downtown Waterbury. This medium-bodied, red-colored ale has a nice hop flavor and aroma.",,
5135,2013-07-09 00:14:11.859109+00:00,2013-07-09 00:14:11.911271+00:00,,Pappy's Porter,1245,26,,5.4199999999999999,,,,,"This dark mahogany ale has agreat and delicious malt depth, yet is balanced with supple, energizing bitterness.",,
5136,2013-07-09 00:14:11.930567+00:00,2013-07-09 00:14:11.957628+00:00,,Holy Cow IPA,1245,32,,5.1600000000000001,,,,,For hops lovers - this bitter ale is pale colored and made with a blend of 6 different malts and 5 different hops. This ale is dry-hopped for extra flavor and aroma.,,
5137,2013-07-09 00:14:11.968786+00:00,2013-07-09 00:14:11.987342+00:00,,Alena,1245,33,,6.5,,,,,,,
5138,2013-07-09 00:14:12.001972+00:00,2013-07-09 00:14:12.011366+00:00,,Broken Spoke,1245,27,,5.0,,,,,An American pale ale made entirely with amarillo hops.,,
5139,2013-07-09 00:14:12.187915+00:00,2013-07-09 00:14:12.194452+00:00,,El Jefe,1245,32,,5.7000000000000002,,,,,"Our holiday ale. This I.D.A., India Dark Ale, is crisp, bitter and overflowing with the aroma of spruce. Perfect for the holidays.",,
5140,2013-07-09 00:14:12.203981+00:00,2013-07-09 00:14:12.208677+00:00,,Heady Topper,1245,33,,8.0,,,,,"Is our double I.P.A.! Loaded with hops, this one will put hair on your chest.",,
5141,2013-07-09 00:14:12.234944+00:00,2013-07-09 00:14:12.244195+00:00,,Heathen,1245,32,,6.9000000000000004,,,,,An american IPA brewed with a blend of 3 base malts and a multitude of hops.,,
5142,2013-07-09 00:14:12.257844+00:00,2013-07-09 00:14:12.266020+00:00,,Hellbrook,1245,34,,8.0,,,,,This American double red ale is packed with enough hops to balance the full malty body.,,
5143,2013-07-09 00:14:12.291978+00:00,2013-07-09 00:14:12.310448+00:00,,Holy Moly,1245,33,,7.7999999999999998,,,,,,,
5144,2013-07-09 00:14:12.324921+00:00,2013-07-09 00:14:12.350713+00:00,,Mortal Sin,1245,32,,6.6600000000000001,,,,,This I.P.A. is so rich and delicious that you'll need to confess after drinking one! Generously dry-hopped for your olefactory pleasure.,,
5145,2013-07-09 00:14:12.376826+00:00,2013-07-09 00:14:12.399318+00:00,,Piston Bitter,1245,6,,5.0,,,,,A full bodied special bitter brewed with British malt and American hops,,
5146,2013-07-09 00:14:12.409095+00:00,2013-07-09 00:14:12.423083+00:00,,Rapture,1245,1,,,,,,,,,
5147,2013-07-09 00:14:12.442779+00:00,2013-07-09 00:14:12.452294+00:00,,Revitalization Rye,1245,120,,6.5,,,,,This IPA is brewed with 35% rye malt. The crisp malt character is layered with Warrior hops. Dry-hopped with Warrior and Simcoe.,,
5148,2013-07-09 00:14:12.464122+00:00,2013-07-09 00:14:12.474004+00:00,,Shut The Hell Up,1245,11,,3.2999999999999998,,,,,"An American mild ale brewed with Horizon hops. The crisp, bitter finish is helpd up by a balanced malt body.",,
5149,2013-07-09 00:14:12.490246+00:00,2013-07-09 00:14:12.573463+00:00,,Hellsmoke Porter,1246,26,,5.7000000000000002,,,,,"A roasty robust porter. 
Brewed with malt that I smoke over alder and apple wood. 

Goes great with steak, burgers, 
as well as barbecued, grilled, or smoked food. 
Kielbasi! 

Cheeses? 
Try it with Gouda, Brie, Swiss, or Havarti.",,
5150,2013-07-09 00:14:12.599875+00:00,2013-07-09 00:14:12.608589+00:00,,Wheatley Hills Weizenbock,1246,51,,7.5,,,,,"Malty and yeasty, with some sweetness along with hints of cloves and banana. (thanks to the yeast!) 

Low hop bitterness, highly carbonated. Unfiltered, and so a bit cloudy with that magical yeast. 

Pairs well with Thai, Szechuan, Mexican, and Caribbean -- und Deutsche Nahrung! (German Food!)",,
5151,2013-07-09 00:14:12.624715+00:00,2013-07-09 00:14:12.642799+00:00,,Long Island Potato Stout,1246,43,,3.8999999999999999,,,,,"Brewed with real mashed Long Island Potatoes (or is it \Potatos\""?) in the mash - hence",,
5152,2013-07-09 00:14:12.652290+00:00,2013-07-09 00:14:12.657157+00:00,,Old Walt Smoked Wit,1246,68,,5.0,,,,,"A smoked wit, you say? 
Yup. 

Researching smoked beers led me to a world of smoked wheat beers, particularly a smoked wheat beer popular in Poland about 100 years ago. (I'll list that one as one of the Blind Bat beers when I'm happy with the test batches and am ready to offer it to the public.) I didn't find anything about smoked wit beers, but decided to experiment a bit (a wit is a wheat beer). I like it, and hope you will too. 

Pictured on the label is Long Island's old Walt Whitman, enjoying a smoke and a book in what is purported to be his favorite spot in his native West Hills. Long Island's springtime is awakening all around him.",,
5153,2013-07-09 00:14:12.773200+00:00,2013-07-09 00:14:12.915650+00:00,,Harborfields HefeWeizen,1246,51,,4.5,,,,,"Sometimes it's good to keep it simple. 

Harborfields HefeWeizen is modeled after the German classic, but meant to be available fresh (like you would enjoy if you were in Germany). Shipping over long distances is not always a friend to beer. 

Named for the Centerport-Greenlawn area of Long Island that is home to the Blind Bat Brewery, Harborfields Hefeweizen goes great with fish, chicken, or a summer salad. Some even like it with brunch! (Please enjoy your waffles responsibly.)",,
5154,2013-07-09 00:14:12.965209+00:00,2013-07-09 00:14:12.971554+00:00,,Orchard White,1247,68,,5.7000000000000002,,,,,"Orchard White is an unfiltered, bottle conditioned Belgian-style witbier. This hazy, straw yellow beer is spiced with coriander, citrus peel and lavender added to the boil and whirlpool. A spicy, fruity yeast strain is used to add complexity, and rolled oats are added for a silky texture.",,
5155,2013-07-09 00:14:12.986295+00:00,2013-07-09 00:14:12.997137+00:00,,Black Orchard,1247,1,,5.7000000000000002,,,,,"Black Orchard is an unfiltered, bottle conditioned Belgian-style black wheat beer, or Ã¢â‚¬Å“black witÃ¢â‚¬Â, if you will. This dark but surprisingly light bodied beer is very drinkable while still having character and complexity. Chamomile is added for its floral aroma, while the coriander and citrus peel give the characteristics of a traditional witbier.",,
5156,2013-07-09 00:14:13.019991+00:00,2013-07-09 00:14:13.027035+00:00,,Saison Rue,1247,75,,8.5,,,,,"Saison Rue is an unfiltered, bottle conditioned, Belgian/French-style farmhouse ale. This is a beer of subtlety and complexity, with malted rye, spicy, fruity yeast notes, biscuit-like malt backbone, and a slight citrus hop character. With age, this beer will dry out and will become more complex with rustic notes of leather and earth from the contribution of a wild yeast strain. Being a Saison, Saison Rue is ambiguous unto itself as it is a different beer when fresh and when aged. We hope you enjoy it in all of its incarnations.",,
